Location,Co,Gr,Sa,Si,Cl,dmax,CU,CC,d10,d50,RHS,RHPRUSP,WPRUSP,wL,wP,wS,IP,w,IC,IA,k10,c,phi,cr,phir,Latitude,Longitude
St. Kosmas,0,0.11,5.42,73.9,20.57,4,,,,0.008,2.75,1.761767,18.42528,,,,,,,,3.75E-10,,,,,46.8681864,14.428183
St. Kosmas,0,0.09,3.61,74.26,22.05,4,,,,0.007,2.75,1.754548,18.01209,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,0.08,5.33,73.27,21.32,4,,,,0.007,2.75,1.757907,17.34889,,,,,,,,4.96E-10,,,,,46.8681864,14.428183
St. Kosmas,0,8.64,8.42,64.58,18.35,45,,,,0.01,,,,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,17.55,11.14,55.15,16.16,45,,,,0.014,2.7485,1.74867,18.76086,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,6.73,12.85,60.68,19.75,35.5,,,,0.009,2.75,1.767733,18.0971,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,2.32,9.02,70.06,18.6,25,,,,0.01,2.75,1.803746,18.0144,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,13.88,12.75,52.63,20.74,35.5,,,,0.012,,,,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,1.1,6.39,71.27,21.24,4,,,,0.008,2.755,1.802362,18.47416,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,10.81,4.84,64.87,19.48,45,,,,0.009,2.7434,1.77176,17.6185,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,16.4,15.73,50.54,17.33,56,,,,0.017,2.7444,1.840561,16.4282,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,7.95,5.45,66.3,20.3,35.5,,,,0.009,2.7508,1.761293,17.36818,,,,,,,,,,,,,46.8681864,14.428183
St. Kosmas,0,95.95,4.05,0,0,45,2.550073,1.358927,,17.688,,,,,,,,,,,,,,,,46.8681864,14.428183
Mauer,,,,,,,,,,,,,,24.545,17.61,,6.934,,,,1.80E-08,,,,,48.1507519,16.2686238
Breitenfeld,0,14.27,18.69,47.44,19.6,12.5,,,,0.014,2.75,1.728787,17.70501,,,,,,,,1.85E-10,,,,,48.2136501,16.34300924
Breitenfeld,0,12.64,15.28,47.89,24.18,12.5,,,,0.008,2.75,1.692855,19.3434,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,7.14,11.95,53.67,27.25,12.5,,,,0.005,2.75,1.704513,18.44871,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,23.22,16.01,40.94,19.83,18,,,,0.015,2.75,1.67996,19.96,,,,,,,,2.25E-10,,,,,48.2136501,16.34300924
Breitenfeld,0,15.17,19.28,48.54,17.01,18,,,,0.016,2.75,1.740977,16.83561,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,27.93,14.93,39.68,17.46,18,,,,0.023,2.75,1.68737,19.56424,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,15.75,11.29,52.34,20.61,18,,,,0.009,2.75,1.719472,17.89116,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,14.79,15.98,46.92,22.32,18,,,,0.01,2.75,1.731249,18.08432,,,,,,,,1.07E-10,,,,,48.2136501,16.34300924
Breitenfeld,0,10.61,16.35,50,23.04,18,,,,0.01,2.75,1.761977,17.15868,,,,,,,,7.04E-11,,,,,48.2136501,16.34300924
Breitenfeld,0,8.8,20.77,50.84,19.59,12.5,,,,0.011,2.75,1.708044,18.57825,,,,,,,,,2.7,27.4,4.8,26.8,48.2136501,16.34300924
Breitenfeld,,,,,,,,,,,2.75,1.758765,16.798,,,,,,,,1.35E-07,,,,,48.2136501,16.34300924
Breitenfeld,0,13.12,19.15,47.22,20.51,18,,,,0.012,2.75,1.743218,17.43221,,,,,,,,6.97E-10,,,,,48.2136501,16.34300924
Breitenfeld,0,16.07,19.31,49.55,15.07,18,,,,0.02,2.75,1.752411,17.99849,,,,,,,,1.11E-06,,,,,48.2136501,16.34300924
Breitenfeld,0,20.46,17.27,46.4,15.86,18,,,,0.019,2.75,1.79475,16.4357,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,10.32,17.15,51.15,21.38,18,,,,0.009,2.75,1.688056,18.98908,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,8.24,17.87,52.2,21.69,18,,,,0.009,2.75,1.6955,18.84741,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,14.43,15.21,52.5,17.86,18,,,,0.015,2.75,1.755834,16.8815,,,,,,,,,,,,,48.2136501,16.34300924
Breitenfeld,0,16.93,14.28,49.47,19.32,18,,,,0.013,2.75,1.743918,17.94112,,,,,,,,1.93E-08,,,,,48.2136501,16.34300924
Zwentendorf,0,20.3,39.5,32.8,7.4,45,68.3,1.4,,0.127,,,,29.98,18.75,15.94,11.229,,1.18,1.09,,,,,,48.6106026,16.4330201
Angern an der March,0,0.34,24.15,62.08,13.43,8,,,,0.024,2.7,1.70404,19.07479,36.401,25.349,22.586,11.052,,1.83,0.815,2.66E-08,,,,,48.3790076,16.8289888
Angern an der March,0,0.45,11.46,69.73,18.36,8,,,,0.015,2.7,1.700861,19.25009,43.799,27.002,22.803,16.797,,1.41,0.903,,,,,,48.3790076,16.8289888
Angern an der March,0,1.22,25.33,58.42,15.03,8,,,,0.024,2.7,1.759192,17.66564,37.88,25.924,22.935,11.955,,1.75,0.779,,,,,,48.3790076,16.8289888
Angern an der March,0,0.51,15.43,65.95,18.11,8,,,,0.015,2.7,1.719891,18.71284,42.459,25.735,21.554,16.724,,1.42,0.914,,,,,,48.3790076,16.8289888
Angern an der March,0,1.57,19.21,63.49,15.72,8,,,,0.015,2.75,1.667894,21.48676,44.314,26.097,21.543,18.217,,1.17,1.12,,4,29.9,3.3,29.8,48.3790076,16.8289888
Angern an der March,0,0.4,20.63,65.07,13.9,8,,,,0.02,2.75,1.68595,19.30788,40.56,27.078,23.707,13.482,,1.45,0.962,,,,,,48.3790076,16.8289888
Angern an der March,0,0.68,21.03,63.18,15.12,8,,,,0.02,2.75,1.739563,18.36273,40.53,25.247,21.427,15.282,,1.43,0.998,,,,,,48.3790076,16.8289888
Angern an der March,0,0.58,23.89,62.47,13.06,8,,,,0.024,2.75,1.731006,18.60468,39.832,23.747,19.725,16.085,,1.09,1.21,,,,,,48.3790076,16.8289888
,0,0.5,29.38,62.28,7.84,12.5,16.26885,2.950908,0.003120982,0.042,2.65,1.742264,16.57703,,,,,,,,3.35E-08,,,,,,
,0,0,0.81,76.02,23.18,1,,,,0.008,,,,33.443,21.577,18.61,11.8662,,2.14,0.511,7.20E-11,,,,,,
,0,0,1.006794,79.27333,19.71987,1,,,,0.008925344,,,,31.56593,22.31342,20.00029,9.252509,,1.984968,0.4694323,1.51E-10,,,,,,
,0,0.4228115,3.410125,78.02075,18.14632,8,,,,0.0106431,,,,29.32042,20.16664,17.8782,9.153773,,1.164593,0.503231,4.23E-10,3,33.3,3,33.2,,
,0,0,0.2680361,67.57375,32.15822,2,,,,0.004516421,,,,31.19592,21.42621,18.98378,9.769714,,0.9996117,0.3033131,5.17E-10,0.2,34.1,0.7,33.9,,
,0,26.97068,55.92552,17.10379,0,35.5,16.02957,1.64539,0.02818545,0.3479883,,,,,,,,,,,3.28E-08,,,,,,
,0,27.90068,51.68546,20.41385,0,35.5,16.48869,2.832981,0.02817774,0.3658099,,,,,,,,,,,1.54E-07,,,,,,
,0,0.1793265,44.5003,47.76422,7.556146,16,20.13382,2.912597,0.003545596,0.05393526,2.7,1.934335,12.32698,,,,,,,,,,,,,,
,0,38.00813,47.5412,13.94853,0.5021418,31.5,74.64352,5.634431,0.02493086,1.295946,2.7,2.083198,9.550035,,,,,,,,,14.5,37.8,8.3,33.6,,
,0,49.8431,37.16835,12.17296,0.8155891,31.5,92.34737,4.139701,0.0317859,1.984426,2.7,2.130555,9.105385,,,,,,,,,24.3,32.4,7.8,34.4,,
,0,44.17989,35.56842,18.82022,1.431471,31.5,225.7031,1.301037,0.01163611,1.28384,2.7,1.984991,11.11292,,,,,,,,,0,35,1.8,34.1,,
,0,45.72922,38.4456,14.85411,0.9710673,31.5,137.7112,3.919225,0.01961278,1.598698,2.7,2.066271,10.28494,,,,,,,,,9.7,36.1,0,34.4,,
,0,49.97489,39.87014,9.772251,0.3827184,31.5,49.47887,2.499973,0.0613445,1.997652,2.7,2.128272,9.794096,,,,,,,,,,,,,,
,0,46.19,34.0358,18.561,1.213196,31.5,245.4522,3.459452,0.01111558,1.605097,,,,,,,,,,,,,,,,,
,0,36.89956,26.09656,34.05148,2.952398,31.5,219.8673,0.1347592,0.006206755,0.3543227,2.7,2.008579,9.857342,,,,,,,,,3.4,38,4,32.7,,
,0,0,43.23418,56.27537,0.4904534,2,3.772133,1.505878,0.01751114,0.0570595,,,,33.43594,28.75259,27.58175,4.683354,,1.908022,-0.09959453,,11.3,31.3,5.5,32.5,,
,0,0,12.75333,86.00867,1.238003,0.5,4.338681,0.9551163,0.00589133,0.01951635,,,,66.57757,45.8549,40.67423,20.72267,,0.8192752,-0.1783181,,5,32.1,2.8,33,,
,0,0,47.06106,50.30645,2.632494,2,17.42635,0.5901392,0.005968227,0.05121814,,,,109.271,79.20351,71.68664,30.0675,,1.984568,-0.3005833,,8.3,33.7,5.5,34.7,,
,0,0,91.23763,8.762375,0,2,2.694202,1.207919,0.06534265,0.1557883,,,,,,,,,,,,5.8,38.8,0,34.1,,
,0,76.25701,22.99446,0.7485205,0,31.5,45.54821,7.283924,0.1985608,7.092719,,,,,,,,,,,,17.1,50.8,19.4,42,,
,0,1.148582,52.54538,45.00083,1.305204,16,4.278332,1.431051,0.01974762,0.0674986,2.664,1.683018,17.74006,,,,,,,,,20.7,40.4,7.1,33.5,,
,0,0,5.908114,78.7985,15.29338,0.1,,,,0.009831721,,,,46.18261,24.17268,18.67019,22.00993,,1.151417,1.438557,,,,,,,
,0,0,3.179508,73.59806,23.22243,0.1,,,,0.008715382,,,,48.1324,25.60168,19.96901,22.53071,,0.9823213,,,,,,,,
,,,,,,,,,,,,,,42,28.4,25,13.6,,,,,4.5,33.4,1.6,33.2,,
Wimpassing an der Leitha,0,4.4,28.8,60.4,6.4,29,11.9,1.7,0.004,0.036,2.739,1.898,13.1,25.231,21.191,,4.04,,,,,6.5,34.6,5.9,33.6,47.9163073,16.4295079
,0,0,17.5,66.9,15.6,4,,,,0.02,2.7,1.797,15.9,32.7,19.8,16.6,12.9,,,,,,,,,,
Rautenweg,0,61.7,33.8,4.6,0,31.5,31.3,2.2,0.147,3.253,2.7,1.498,24.2,,,,,,,,,17.5,35.9,16.9,35.3,48.2584558,16.4792143
,0,0,99.9,0.1,0,8,2.4,1,0.19,0.403,,,,,,,,,,,0.00011,3.4,32.2,3,31.9,,
,,,,,,,,,,,,,,,,,,,,,4.80E-06,5.4,32.1,4,32,,
,0,0,18,48,34,8,,,,0.005,,,,75.4,53.7,48.3,21.7,,,,,,,,,,
,0,1.6,35.2,41.9,21.2,8,,,,0.02,,,,70.3,49.6,44.4,20.7,,,,,,,,,,
,0,70.6,28.4,0.8,0.1,18,5.9,1.3,0.739,3.597,2.7,2.13,7.91,,,,,,,,,,,,,,
,0,0,100,0,0,4,1.3,1,,0.922,2.7,1.644,9,,,,,,,,3.80E-05,0,42.5,0,31.9,,
,0,0,100,0,0,2,1.4,1,,0.94,,,,,,,,,,,,0,42.5,0,32.5,,
,0,0,100,0,0,1.6,1.4,1,,0.947,,,,,,,,,,,,0,39.9,0,31.3,,
,0,0,100,0,0,2,1.4,1,,0.94,,,,,,,,,,,,0,36.3,0,29.2,,
,0,0,100,0,0,2,1.4,1,,0.912,,,,,,,,,,,,0,43.9,0,32.8,,
,0,0,100,0,0,2,1.3,1,,0.913,,,,,,,,,,,,0,42.2,0,32.3,,
,0,0,100,0,0,2,1.4,1,,0.94,,,,,,,,,,,,0,41.3,0,31.5,,
,0,0,100,0,0,1.6,1.4,1,,0.947,,,,,,,,,,,,0,36.2,0,33.4,,
,0,0,100,0,0,2,1.4,1,,0.94,,,,,,,,,,,,0,43.6,0,33.1,,
,0,0,100,0,0,2,1.4,1,,0.912,,,,,,,,,,,,0,42.7,0,33.8,,
,0,0,100,0,0,2,1.3,1,,0.913,,,,,,,,,,,,0,40.8,0,31.3,,
,0,0,100,0,0,1.6,1.3,1,,0.881,,,,,,,,,,,,0,37.4,0,36.9,,
,0,0,100,0,0,1.6,1.3,1,,0.886,,,,,,,,,,,,,,,,,
,0,0,100,0,0,1.6,1.3,1,,0.888,,,,,,,,,,,,0,47.6,0,45.7,,
,0,0,100,0,0,1.6,1.3,1,,0.888,,,,,,,,,,,,0,43.5,0,41.8,,
,0,0,100,0,0,1.6,1.3,1,,0.892,,,,,,,,,,,,0,39,0,37.9,,
,0,0,100,0,0,2,1.4,1,,0.925,,,,,,,,,,,,0,37.9,0,35.2,,
,0,0,100,0,0,2,1.3,1,,0.923,,,,,,,,,,,,0,43.5,0,41.8,,
Markgrafneusiedel,0,0.4,70.7,23.3,5.7,8,35,2.2,,,2.674,,,,,,,,,,,,,,,,
,0,0.3,14.5,76.7,8.4,8,17.271655,1.875829625,,0.021178678,,,,22.267,16.438,,5.829,,,,,,,,,,
Gneixersdorf,0,0,3.78,79.64,16.58,1.5,,,,0.019346125,,,,24.224,18.897,,5.327,,,,,,,,,,
Gneixersdorf,0,0,3.76,77.47,18.77,2,,,,0.02291164,,,,,,,,,,,,,,,,,
Fischamend,0,0,13.1,79.57,7.33,0.95,5.5406375,0.44257925,,0.019908714,2.7775,1.7793975,15.62816,,,,,,,,,,,,,48.1185885,16.6112789
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0.11,3.78,69.06,27.04,2.32,,,,0.01,2.732,1.629138,22.25712,47.1204,23.94079,18.14589,23.1796,,1.742929,1.013824,,,,,,,
,0,27.77,49.19,19.41,3.64,18,271.5,3.57,0.004647765,0.801,2.794,1.678788,19.96521,73.075,49.247,43.29,23.828,,0,0,6.25E-11,,,,,,
Schwechat,,,,,,,,,,,2.7,0.757,69.7,,,,,,,,,15,22.6,14.6,22,48.10499675,16.5848987
Schwechat,,,,,,,,,,,2.7,0.903,59,,,,,,,,,10.6,30.5,9.6,29.8,48.10499675,16.5848987
,0,0,2.555072,58.70596,38.73897,1,,,,0.004,,,,57.896,23.605,15.032,34.291,,0.806,,7.33E-07,,,,,,
,0,0.3,20,45.3,34.4,8,,,,0.008,2.721,1.7834,18.5,41.5,20.1,14.7,21.4,23.717,0.831,0.599,,4.9,26,5,25.9,,
Altenburg,0,0.5797148,11.24988,53.56436,34.60605,12.5,,,,0.007,2.75,1.733779,19.13043,61.027,27.393,18.985,33.634,,1.148,0.943,,,,,,48.6479626,15.5933893
Judenburg,0,27.3,39.8,26.4,6.5,35.5,117.8,1,0.005,0.211,,,,,,,,,,,,8.12,36.7,7,36.7,47.1694082,14.6601079
Judenburg,0,24.3,59.2,14.5,1.9,35.5,12.1,0.7,0.04,0.245,,,,,,,,,,,,3.7,36.1,1,34.5,47.1694082,14.6601079
Judenburg,0,9,40.7,45.1,5.2,35.5,15.7,1.3,0.006,0.062,,,,,,,,,,,,2.2,33.9,1.3,33.7,47.1694082,14.6601079
Judenburg,0,11.9,44.7,37.6,5.8,35.5,40.8,1,0.004,0.097,,,,,,,,,,,,12.1,33.5,11.4,32.4,47.1694082,14.6601079
Judenburg,18.6,13.9,33.3,34.2,0,67,,,,0.166,,,,,,,,,,,,3.5,32.7,3.4,32.4,47.1694082,14.6601079
Judenburg,3.4,27.3,33.1,32.9,3.3,67,48.3,0.4,0.011,0.162,,,,,,,,,,,,0.7,33.1,0.7,33.1,47.1694082,14.6601079
Judenburg,14.4,52.1,22.6,10.9,0,67,,,,12.516,,,,,,,,,,,,1,34.5,0.8,34.5,47.1694082,14.6601079
Judenburg,0,0.4,32.4,62.2,4.9,8,6.9,2.4,0.008,0.047,,,,,,,,,,,,9,32.1,3.5,31.6,47.1694082,14.6601079
Lainzertunnel,,,,,,,,,,,2.7,1.972,9.6,,,,,,,,,66.14,39.45,54.86,38.7,,
Lainzertunnel,,,,,,,,,,,2.65,1.654,18.4,,,,,,,,,22.5,37.5,6.5,33.8,,
Lainzertunnel,0,0,88.6,9.6,1.8,2,3,1.7,0.052,0.141,2.65,1.912,12.5,,,,,,,,,38.7,35.4,7.8,33.7,,
Lainzertunnel,,,,,,,,,,,2.75,1.747,19,,,,,,,,,19.8,21.4,6.7,17.6,,
Lainzertunnel,,,,,,,,,,,2.65,1.711,15.2,,,,,,,,,16.9,41.1,5.1,32.2,,
Lainzertunnel,,,,,,,,,,,2.65,1.844,13.6,,,,,,,,,17.5,22.4,10.4,19.6,,
Lainzertunnel,,,,,,,,,,,2.7,1.859,14.9,36.5,16.5,11.5,20,13.7,1.14,,,54.6,28.6,6.7,26.7,,
Lainzertunnel,,,,,,,,,,,2.7,1.792,15.5,,,,,,,,,26.7,25.2,11.2,24.5,,
Lainzertunnel,,,,,,,,,,,2.75,1.695,19.4,,,,,,,,,32.1,19.3,22.6,14.9,,
Lainzertunnel,,,,,,,,,,,2.7,1.792,16.5,,,,,,,,,10.2,22.8,6.6,18.8,,
Lainzertunnel,,,,,,,,,,,2.75,1.737,18.2,,,,,,,,,49.4,29,14.4,18.6,,
Lainzertunnel,,,,,,,,,,,2.7,1.861,15,,,,,,,,,51.3,29.3,33.3,24.8,,
Lainzertunnel,,,,,,,,,,,2.65,1.642,17.4,,,,,,,,,26.1,33.5,5.8,32.6,,
Lainzertunnel,,,,,,,,,,,2.7,1.727,16.3,,,,,,,,,20.9,31.4,5,24.9,,
Lainzertunnel,,,,,,,,,,,2.65,1.643,18.6,,,,,,,,,26.8,37.4,6.4,32.9,,
Lainzertunnel,,,,,,,,,,,2.7,1.851,14.8,,,,,,,,,60,24.5,37.3,22.8,,
Lainzertunnel,,,,,,,,,,,2.7,1.863,14.6,,,,,,,,,30.2,25.6,20,23.7,,
Lainzertunnel,,,,,,,,,,,2.7,1.846,14,,,,,,,,,23.8,30.7,11.7,29.9,,
Lainzertunnel,,,,,,,,,,,2.7,1.785,17.3,,,,,,,,,56.2,22.6,27.1,16.7,,
Lainzertunnel,,,,,,,,,,,2.75,1.772,18.2,,,,,,,,,30.4,22.2,13.7,19.9,,
Lainzertunnel,,,,,,,,,,,2.7,1.77,16.2,,,,,,,,,33.1,23.4,17.4,22.6,,
Lainzertunnel,,,,,,,,,,,2.7,1.819,15.7,,,,,,,,,46,24.2,29.6,17.7,,
Lainzertunnel,,,,,,,,,,,2.75,1.848,14.7,,,,,,,,,30.6,26.5,12,23.7,,
Lainzertunnel,,,,,,,,,,,2.75,1.738,19.1,,,,,,,,,30.8,28,9.7,25.9,,
Lainzertunnel,,,,,,,,,,,2.75,1.759,17.7,,,,,,,,,19.7,27,9.5,26.4,,
Lainzertunnel,,,,,,,,,,,2.75,1.759,16.2,,,,,,,,,23.3,31.9,10,30.9,,
Hohenruppersdorf,0,13.6,14.1,62.5,9.8,31.5,14.2,2.1,0.002,0.022,,,,44.5,20.6,14.6,23.9,19.7,1.038,2.44,,0.7,31.1,0,30.8,48.4642356,16.6508678
Hohenruppersdorf,2.2,76.2,16.2,5.4,0,67,87.4,4.6,0.206,11.349,2.686,2.19,6.4,,,,,,,,,47.6,52.5,44.9,49.2,48.4642356,16.6508678
Hagsdorf,0,13.5,20.7,59.2,6.6,45,11,1.8,0.004,0.035,2.745,1.938,12.4,31.4,20.9,18.2,10.6,18.1,1.255,,4.00E-09,24,32.8,23.3,29.3,48.1746698,15.0989002
Hagsdorf,0,12.5,13.2,67.1,7.3,45,10.1,1.8,0.004,0.028,2.745,1.943,12.4,28.1,21.3,19.6,6.8,26.7,0.206,0.94,6.60E-10,5,32.8,3.8,32.1,48.1746698,15.0989002
Steinakirchen,0,14.4,18.4,47.7,19.5,45,,,,0.026,2.743,1.849,15.5,37.9,19.2,14.5,18.7,18.1,1.059,0.96,6.40E-11,7.1,28.6,6.5,27.4,48.0674438,15.0488188
Steinakirchen,0,39.4,27.8,24.1,8.7,63,461,0.6,0.003,0.302,2.694,2.002,9.4,,,,,,,,9.10E-09,8.6,36.4,7.7,35,48.0674438,15.0488188
Steinakirchen,0,41.5,27.4,29,2.1,45,206.5,0.1,0.011,0.401,2.695,2.112,8.6,,,,,,,,8.00E-10,4.1,36.2,2.9,34.4,48.0674438,15.0488188
Gottsdorf,0,2.1,23.3,54.9,19.6,16,,,,0.015,2.75,1.754,17.3,42,21,15.8,21,29,0.619,1.1,1.90E-10,8.5,28.5,6.2,27.6,48.1917608,15.1067004
Wieselburg,0,67.2,20.3,8.8,3.7,63,375.2,9.8,0.025,5.914,2.69,2.302,4.8,,,,,,,,,2.5,35.6,2.2,33.2,48.1298877,15.1376585
Schallemmersdorf,10.1,59.8,22.1,8,0,75,354.9,1.3,0.092,18.355,,,,,,,,,,,,5.9,33.8,5.3,32.8,48.2542718,15.3535396
Schallemmersdorf,0,73.7,18.2,8.2,0,75,266,6.4,0.087,14.271,,,,,,,,,,,,4.4,33.1,3.8,31.6,48.2542718,15.3535396
Schallemmersdorf,,,,,,,,,,,2.695,2.058,9.5,,,,,,,,,1,36.3,0.1,35.6,48.2542718,15.3535396
Langenlois,,,,,,,,,,,,,,,,,,,,,,,,,,48.472601,15.676295
Langenlois,,,,,,,,,,,,,,,,,,,,,,,,,,48.472601,15.676295
Langenlois,,,,,,,,,,,,,,,,,,,,,,,,,,48.472601,15.676295
Langenlois,,,,,,,,,,,,,,,,,,,,,,,,,,48.472601,15.676295
Pinkafeld,0,2,25.6,50.9,21.6,4,,,,0.011,2.75,1.715,17.4,57.302,20.889,11.786,36.413,37.8,0.536,1.69,3.10E-10,1.9,27,1.2,26.7,47.37254,16.1234157
Ybbs,,,,,,,,,,,2.7,2.121,8.9,,,,,,,,,16.4,40.3,12,39.3,48.1772445,15.0852856
Ybbs,15.6,44.2,28.2,10.5,1.5,75,254.5,0.7,0.046,4.874,,,,,,,,,,,,28.1,41,19.5,40.5,48.1772445,15.0852856
Böheimkirchen,0,3.2,26.2,57.2,13.4,16,,,,0.03,,,,31.5,19.4,16.4,12,15.4,1.342,0.9,,2.4,34.1,1.7,32.8,48.1979315,15.7624204
Böheimkirchen,,,,,,,,,,,,,,27.8,17,14.3,10.8,16,1.093,1.08,,6.9,31.8,3.8,31.2,48.1979315,15.7624204
Böheimkirchen,,,,,,,,,,,,,,32.4,17.4,13.6,15,19.8,0.84,0.84,,2.4,32.3,1.6,32,48.1979315,15.7624204
Böheimkirchen,0,1.2,25.8,62.1,11,16,26,2.3,0,0.033,,,,29.8,20.8,18.6,9,11.3,2.056,0.82,,2.4,34.1,1.1,33.8,48.1979315,15.7624204
Simbach,0,62,29.1,7.7,1.2,45,108.8,0.2,0.079,5.424,2.692,2.178,6.7,,,,,,,,1.00E-08,3.6,33.9,2.4,32.2,48.2775178,14.0210941
Vienna,0,0,91.1,7.5,1.4,4,3.4,1,0.07,0.197,2.7,1.74,20.45,,,,,,,,,,,,,48.2083537,16.3725042
Vienna,0,82.6,15.6,1.8,0,45,21,1.7,0.84,13.059,2.6906,2.15,15.3,,,,,,,,,,,,,48.2083537,16.3725042
Ybbs,,,,,,,,,,,,,,54.2,21.8,13.7,32.4,30,,,,7.4,24.7,6.1,23.6,48.1772445,15.0852856
Laa an der Thaya,0,2.8,65,29.1,3.1,16,17.9,2.1,0.00929705,0.136,,,,23.1,16.6,15,6.5,21.1,,2.1,,,,,,48.7125893,16.3745565
Laa an der Thaya,0,0.2,47.6,36.3,15.9,8,,,,0.058,,,,35.1,16.7,12.1,18.4,19,,1.16,,,,,,48.7125893,16.3745565
,,,,,,,,,,,,,,55.4,25.7,18.3,29.7,23.6,,,,8.9,29.2,6.8,28,,
,0,53.5,19.8,17.5,9.2,31.5,3698,0.9,0.002,4.318,,,,,,,,,,,3.00E-07,,,,,,
,0,61.6,17.6,18.2,2.6,31.5,426.2,0.4,0.016,4.966,,,,,,,,,,,,,,,,,
